"","Model","Train_R2","Test_R2","Train_ADJ_R2","Test_ADJ_R2","RMSE","MAPE","Residual_std_error"
"1","linear regression","0.453137645960242","0.428638656897409","0.452028766567123","0.423910149230353","34.9338898683646","0.312949933421927","0.461203583512129"
"2","eps linear","0.445682950548169","0.425742127998259","0.444558955179223","0.420989649057555","35.022326988204","0.303370228202958","0.462338499303339"
"3","eps polynomial","0.580416618024611","0.571954280181322","0.579565823738754","0.568411832844891","30.236853745841","0.252577690981396","0.403122172062974"
"4","eps radial","0.663305674688687","0.640506761030465","0.662622955543074","0.637531644570028","27.7100228163582","0.225496130285103","0.360858253562217"
"5","eps sigmoid","-983.943292864222","-1045.57509350155","-985.940474262392","-1054.23640462019","1495.12229433897","13.6357108102298","19.5482432532865"
"6","nu linear","0.449775145818548","0.430534113173435","0.448659448243324","0.425821292041078","34.8758962103426","0.307055111479491","0.462111440998876"
"7","nu polynomial","0.581732679868875","0.572974357923492","0.580884554177497","0.569440352609755","30.2008034618594","0.257405528797925","0.403105600199189"
"8","nu radial","0.659329464613432","0.642127551325115","0.658638682858677","0.639165848301598","27.6474863515929","0.230897869077661","0.363723525751934"
"9","nu sigmoid","-654.728530739965","-702.650993958337","-656.058159393037","-708.474312529027","1225.94270197792","10.2940794149559","15.9671217026406"
